Avg MJD,Avg V-mag,Avg UNC,Avg Air Mass,Observation Count,Uncertainty
2457295.3652723306,11.815775100401611,0.005309236947791152,1.040843373493977,249,0.00033645922055958145
2457320.6067753606,11.847182009838335,0.007880182712579021,1.1729529163738548,1423,0.0002088977860584428
2457326.833678645,11.838521095890385,0.007888127853881198,1.2069406392694053,1095,0.00023837838965976363
2457334.2230455945,11.841911636363612,0.007089818181818096,1.1245738181818177,1375,0.00019119817772284613
2457340.4766751225,11.842886234357229,0.0083321956769055,1.1556541524459607,879,0.00028103798503226006
2457347.3116465714,11.843015523932722,0.007353169469598888,1.1953958602846044,773,0.0002644751233631089
2457355.9111369187,11.838154929577483,0.00855281690140839,1.1346971830985915,568,0.00035886822522933863
2457361.664363147,11.854757936507943,0.007547619047619022,1.410857142857141,252,0.00047545530930128815
2457368.4678265946,11.832063063063066,0.00952252252252253,1.296522522522523,111,0.0009038378391985517
2457375.587580992,11.852685039370076,0.009291338582677163,1.4907716535433069,127,0.000824472977252767
2457383.743001773,11.849014778325122,0.008847290640394056,1.4255369458128073,203,0.0006209580698488151
2457397.550262348,11.850336956521737,0.00397826086956522,1.4649565217391298,92,0.00041476236709179034
2457483.402669519,11.889480769230772,0.0041442307692307724,1.2834423076923072,104,0.0004063752607911413
2457488.9425436314,11.878499999999999,0.005669999999999995,1.3096349999999994,200,0.0004009295449327721
2457502.964171408,11.856126760563379,0.004661971830985918,1.500957746478873,71,0.0005532742660030502
2457510.926585202,11.85868918918919,0.006810810810810814,1.2087837837837845,74,0.0007917406746876344
2457513.2180949333,11.858393333333336,0.00470666666666667,1.233940000000001,150,0.0003842977240899833
2457522.9201734816,11.86415384615385,0.005000000000000004,1.3436346153846157,52,0.0006933752452815369
2457532.5897999224,11.820310861423224,0.004943820224719092,1.3004382022471908,267,0.0003025568842689051
2457534.1525761285,11.830088888888897,0.0077222222222222145,1.413561111111111,180,0.0005755804608749453
2457543.1197533,11.840276872964159,0.004182410423452768,1.266221498371335,307,0.00023870277096657612
2457548.982054292,11.831989717223658,0.007609254498714637,1.2290359897172234,389,0.0003858045178991369
2457556.9785735854,11.83740740740741,0.004377777777777781,1.1155481481481482,135,0.00037677912059400575
2457565.607242078,11.838971052631583,0.0044315789473684105,1.1703947368421044,380,0.0002273352032778152
2457569.597444924,11.871009523809523,0.007247619047619053,1.2132761904761902,105,0.0007072951957274613
2457578.129321467,11.822517985611512,0.005392086330935252,1.1130539568345308,278,0.00032339584737848805
2457592.18986027,11.856135135135135,0.005864864864864868,1.0725405405405413,37,0.0009641778444665555
2457608.8238382824,11.848389937106923,0.006094339622641515,1.1776100628930817,159,0.00048331257016407693
2457614.758239584,11.868806896551723,0.00641379310344828,1.0660413793103451,145,0.0005326365259584705
2457630.256827072,11.8543841025641,0.003941538461538474,1.0898769230769232,195,0.0002822594318906204
2457633.062225172,11.85817759562841,0.004862704918032764,1.089913934426229,732,0.0001797307454892616
2457642.264334938,11.853969230769229,0.007907692307692313,1.054184615384616,65,0.0009808285165977416
2457655.904847273,11.853242424242426,0.007500000000000005,1.164136363636364,66,0.0009231861823449961
2457662.6940154913,11.858016949152539,0.006474576271186445,1.1360847457627112,59,0.0008429180338080466
2457668.90333825,11.846179687499998,0.010374999999999992,1.0822578125,128,0.0009170291068513031
2457697.1925845514,11.843056074766354,0.00518691588785047,1.1942710280373832,107,0.0005014380854395734
2457717.8914121566,11.845078431372553,0.004784313725490198,1.1974705882352936,51,0.0006699379225545776
2457816.593316588,11.870219814241494,0.005154798761609889,1.6416006191950467,323,0.00028682067553693533
2457822.063817774,11.889333333333331,0.0055248226950354645,1.610645390070922,141,0.00046527400461760193
2457830.6342342114,11.883385321100919,0.004568807339449544,1.5380642201834862,109,0.0004376123761836089
2457837.736024329,11.86929315960912,0.004068403908794787,1.6139771986970683,307,0.00023219607549630338
2457852.601811352,11.881918918918918,0.00456756756756757,1.2397027027027026,37,0.0007509034825569027
2457858.498682722,11.893084158415846,0.003138613861386141,1.2239554455445543,202,0.00022083210067277493
2457865.531209989,11.884386363636368,0.0020284090909090924,1.3634090909090906,176,0.0001528970880884399
2457871.5006744424,11.902999999999988,0.0023921568627450996,1.2933692810457507,306,0.0001367505057999091
2457878.5015096134,11.889164874551966,0.002534050179211471,1.199512544802867,279,0.00015170961592942642
2457899.6440929277,11.883131073446354,0.00647796610169484,1.274990960451977,885,0.00021775444838310394
2457907.3595525753,11.864789115646262,0.00760544217687073,1.262073469387754,735,0.0002805309608720364
2457941.615982806,11.872885454545468,0.006009090909090898,1.152454545454547,550,0.00025622849729283316
2457950.583576067,11.87807692307692,0.0028692307692307715,1.2574692307692301,260,0.0001779421384683646
2457958.930661999,11.88971111111111,0.00457777777777778,1.163111111111111,45,0.0006824148197999361
2457984.9815934105,11.865667528735623,0.006010057471264383,1.0450660919540233,348,0.0003221728975019042
2457988.7895597727,11.889318181818181,0.005613636363636366,1.0457727272727269,44,0.0008462875239853142
